id,name,start_date,end_date,wikidata
1,1ª Legislatura,1976-03-06,1980-01-02,Q28847053
2,2ª Legislatura,1980-01-03,1983-05-30,Q28847037
3,3ª Legislatura,1983-05-31,1985-11-03,Q28847026
4,4ª Legislatura,1985-11-04,1987-08-12,Q28847018
5,5ª Legislatura,1987-08-13,1991-11-03,Q28847008
6,6ª Legislatura,1991-11-04,1995-10-26,Q28846999
7,7ª Legislatura,1995-10-27,1999-10-14,Q28846985
8,8ª Legislatura,1999-10-25,2002-04-04,Q28846952
9,9ª Legislatura,2002-04-05,2005-03-09,Q25438238
10,10ª Legislatura,2005-03-10,2009-09-14,Q25431190
11,11ª Legislatura,2009-10-15,2011-06-19,Q25431189
12,12ª Legislatura,2011-06-20,2015-10-22,Q3570377
13,13ª Legislatura,2015-10-23,,Q25379987
